,id,imdbid,rating,title,year
125,5974,15532,1,Die Abenteuer des Prinzen Achmed,1926
126,1310,17925,0,"General, The",1926
127,1334,17449,1,"Temptress, The",1926
128,5975,18037,1,"Jazz Singer, The",1927
129,7324,17825,1,Downhill [When Boys Leave Home],1927
130,1632,18455,2,Sunrise: A Song of Two Humans,1927
131,1982,18199,0,Nevada,1927
132,2010,18183,3,My Best Girl,1927
133,1312,18192,2,Abel Gance&#39;s Napoleon,1927
134,1227,18033,3,It,1927
135,1267,17136,1,Metropolis,1927
136,1311,18528,0,"Unknown, The",1927
137,1964,18051,0,"Kid Brother, The",1927
138,3118,18578,1,Wings,1927
139,1963,19412,0,Speedy,1928
140,1971,19421,0,"Steamboat Bill, Jr.",1928
141,1979,19290,1,"Power of the Press, The",1928
142,5912,18806,1,"Crowd, The",1928
143,1970,18742,0,"Cameraman, The",1928
144,1977,18684,0,Beggars of Life,1928
145,2013,19258,3,"Patsy, The",1928
146,2017,19571,2,While the City Sleeps,1928
147,2021,19130,2,"Man Who Laughs, The",1928
148,1968,18773,0,"Circus, The",1928
149,1972,19304,0,"Racket, The",1928
150,1980,18937,0,A Girl in Every Port,1928
151,1314,19254,0,"Passion of Joan of Arc, The",1928
152,5984,18839,2,"Docks of New York, The",1928
153,1313,20530,0,Un chien andalou,1929
154,3897,19760,0,Man with a Movie Camera,1929
155,5979,19702,2,Blackmail,1929
156,1962,20572,0,Welcome Danger,1929
157,2324,18737,3,Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929
158,1953,19777,2,"Cocoanuts, The",1929
159,6046,20286,0,Throw of the Dice,1929
160,8464,19729,3,Broadway Melody,1929
161,7287,21015,3,Juno and the Paycock [The Shame of Mary Boyle],1929
162,6782,20668,3,"Bat Whispers, The",1930
163,1316,20629,0,All Quiet on the Western Front,1930
164,3865,21156,1,Morocco,1930
165,3871,21577,0,L&#39;Age d&#39;Or,1930
166,1315,20697,1,"Blue Angel, The",1930
167,3713,21040,3,Ladies of Leisure,1930
168,1326,20641,3,Anna Christie,1930
169,4253,20670,2,Be Yourself,1930
170,3927,21148,3,Min and Bill,1930
171,8463,20640,3,Animal Crackers,1930
172,7291,21165,3,Murder!,1930
173,1633,22458,0,Tabu: A Story of the South Seas,1931
174,610,22100,3,M,1931
175,1317,21884,1,Frankenstein,1931
176,1333,23196,3,Mata Hari,1931
177,8213,21815,3,Dracula,1931
178,6031,22599,1,A Nous la Liberte,1931
179,7294,22395,3,"Skin Game, The",1931
180,1974,22251,0,Pardon Us,1931
181,2384,22158,1,Monkey Business,1931
